ObjID,u-r,g-r,i-r,z-r,y-r,H_r,GS
1998 WD8,2.182,0.65,-0.2,-0.146,-0.151,13.835,0.15
1998 BW1,1.786,0.474,-0.119,-0.126,-0.131,14.078,0.15
1999 JO12,2.182,0.65,-0.2,-0.146,-0.151,13.245,0.15
2000 GU136,1.786,0.474,-0.119,-0.126,-0.131,13.498,0.15
2000 FW35,2.182,0.65,-0.2,-0.146,-0.151,13.534999999999998,0.15
1992 SF17,2.182,0.65,-0.2,-0.146,-0.151,15.534999999999998,0.15
2001 SF198,1.786,0.474,-0.119,-0.126,-0.131,16.038,0.15
1999 LZ3,2.182,0.65,-0.2,-0.146,-0.151,15.165,0.15
2000 QR19,2.182,0.65,-0.2,-0.146,-0.151,15.505,0.15
2000 QM186,2.182,0.65,-0.2,-0.146,-0.151,15.195,0.15
