ObjID,optFilter,number_obs,min_apparent_mag,max_apparent_mag,median_apparent_mag,min_phase,max_phase,date_linked_MJD
2010_TC209,g,1,21.01487743175703,21.01487743175703,21.01487743175703,4.822674862328414,4.822674862328414,60259.0
2010_TC209,i,2,20.233601443479177,20.402532052762812,20.318066748120994,4.902659658311544,7.356710425955389,60259.0
2010_TC209,r,2,20.490376193425977,20.633063031128895,20.561719612277436,4.821141532804077,7.345792889497847,60259.0
2010_TC209,u,0,,,,,,
2010_TC209,y,0,,,,,,
2010_TC209,z,1,20.091469460234205,20.091469460234205,20.091469460234205,4.899566415675729,4.899566415675729,60259.0
2010_TU149,g,2,21.729062117308526,21.740321800049845,21.734691958679186,4.519267478947488,6.713317132331069,60234.0
2010_TU149,i,3,20.864877364325775,20.93846151886477,20.889811580077854,2.72399441659693,24.70404579388877,60234.0
2010_TU149,r,3,21.078499119128235,21.08552700943837,21.07893275938656,2.705921241205189,7.9060764137927375,60234.0
2010_TU149,u,0,,,,,,
2010_TU149,y,4,20.898782168711065,21.267633716985472,21.077290657613517,4.614513540497993,14.447194538988198,60234.0
2010_TU149,z,3,21.065476296172363,21.33938121692864,21.25570051003638,13.051242279034328,24.76913955178594,60234.0
2011_OB60,g,7,22.949694681072152,23.242615022852355,23.098203624627587,0.3785543357245827,1.2668113261396663,60228.0
2011_OB60,i,20,22.127245775286116,22.794409797452477,22.452544099421793,0.3324387390222129,1.5791369649153313,60228.0
2011_OB60,r,11,22.436500527720433,22.87012544279747,22.655177235098034,0.3325287235959944,1.5011950631941984,60228.0
2011_OB60,u,0,,,,,,
2011_OB60,y,3,22.496110087408628,22.763896682544406,22.69458218010488,0.4078123561988377,0.6145426774489476,60228.0
2011_OB60,z,14,22.198572487344766,23.0118552348447,22.448324923523913,0.3323812401128109,1.4747015450176195,60228.0
2011_YA42,g,55,22.00920609288483,23.278350099994594,22.65514085660344,5.779172614054357,16.858086742640825,60294.0
2011_YA42,i,112,21.104136535949724,22.49407638910208,21.81415760184774,4.27818434969482,16.858826689815466,60294.0
2011_YA42,r,117,21.27488596820428,22.524780234236754,21.990842881066012,4.279059016488774,16.858790856474137,60294.0
2011_YA42,u,5,23.40885658490593,23.987753692668942,23.646818483829662,4.786855583707535,16.40494866390939,60294.0
2011_YA42,y,96,21.060197281830604,22.324633729200578,21.8559353797325,4.289386839279333,16.626087100847606,60294.0
2011_YA42,z,80,21.33283414786782,22.564524870200746,22.081596775078438,4.288267265701839,16.156579097561554,60294.0
2012_HW1,g,4,21.302161919184737,21.863393155752394,21.318137690374293,18.246705803438875,23.79969452769924,60394.0
2012_HW1,i,12,19.893033806707077,22.35454492724897,20.7712399940762,15.429492575573924,32.983421429257994,60394.0
2012_HW1,r,7,20.52308577747041,21.376640930937814,20.73565682751209,16.941927704029318,25.05771192095638,60394.0
2012_HW1,u,1,22.8392371003475,22.8392371003475,22.8392371003475,18.286703173486703,18.286703173486703,60394.0
2012_HW1,y,6,20.265086542939706,21.685676696736294,20.345523326253684,15.835262453124116,28.78834505414101,60394.0
2012_HW1,z,8,20.45375808240231,22.23604750296209,21.760245587105445,15.420106727076028,30.443957146938153,60394.0
2013_CC263,g,6,23.116251593413,24.087340773155802,23.70189435799177,2.6381200001685445,11.835215830024234,60375.0
2013_CC263,i,14,22.861542837873245,23.970967789022446,23.180058900698526,2.9141300061349544,16.661928917357315,60375.0
2013_CC263,r,17,22.87384302578482,23.81352488829336,23.25578768469912,2.5782284903062447,15.286910589051857,60375.0
2013_CC263,u,0,,,,,,
2013_CC263,y,0,,,,,,
2013_CC263,z,2,23.179353287045522,23.390868806524256,23.28511104678489,10.906263920725223,11.506994018448102,60375.0
